Reference,Externí číslo,Odběratel-Název,Sklad,Zdroj-číslo,Název Položky,Počet,Chtěl,Jednotková cena v měně,Cena základ v měně,Expire Date,Doznačení,Rozdíl v ceně,DU balení
,,Penta Lebanon s.a.r.l.,AC20,E9084,Hair color Coffee Brown 6/77,10,66,0.82,54.12,"Datum Expirace: 30.05.2022, Měsíců: 12,2, ",,,
,,Penta Lebanon s.a.r.l.,AC20,E9090,Hair color Ultra Light Pearl Blond 10/11,10,66,0.82,54.12,,,,
,,Penta Lebanon s.a.r.l.,AC20,E9091,Hair color Ultra Light Blond Ash 10/20,10,66,0.82,54.12,,,,
,,Penta Lebanon s.a.r.l.,AC20,E9094,Hair color Ultra Light Blond Violet 10/8,10,66,0.82,54.12,,,,
,,Penta Lebanon s.a.r.l.,AC20,E9063,Zesvětlující prášek (2x500 g),0,58,5.46,316.68,,,,
,,Penta Lebanon s.a.r.l.,AC20,5550,MEN AGENT SG 3 in 1 Extreme clean,,,0.64,9.56,,,,
,,Penta Lebanon s.a.r.l.,AC20,5551,MEN AGENT SG 3 in 1 Gentleman touch,,,0.64,9.56,,,,
,,Penta Lebanon s.a.r.l.,AC20,5552,MEN AGENT SG 3 in 1 Intensive charm,,,0.64,9.56,,,,
,,Penta Lebanon s.a.r.l.,AC20,5553,MEN AGENT SG 3 in 1 Sensitive feeling,,,0.64,9.56,,,,
,,Penta Lebanon s.a.r.l.,AC20,5554,MEN AGENT SG 5 in 1 Total freedom,,,0.64,9.56,,,,
,,Penta Lebanon s.a.r.l.,AC20,5555,MEN AGENT SG 5 in 1 Powerful energy,,,0.64,9.56,"Datum Expirace: 24.10.2022, Měsíců: 17,0, Datum Expirace: 16.01.2023, Měsíců: 19,8, ",,,
,,Penta Lebanon s.a.r.l.,AC20,5556,MEN AGENT SG 5 in 1 Sexy sixpack,,,0.64,9.56,,,,
,,Penta Lebanon s.a.r.l.,AC20,5557,MEN AGENT SG 5 in 1 Black Box,,,0.64,9.56,"Datum Expirace: 26.10.2022, Měsíců: 17,1, ",,,
